,6.1600000e+02,3.0000000e+01
656,292.0,249.0
657,285.0,250.0
658,335.0,250.0
659,365.0,250.0
660,281.0,252.0
661,285.0,252.0
662,398.0,252.0
663,344.0,256.0
664,512.0,256.0
665,278.0,258.0
666,283.0,261.0
667,379.0,261.0
668,344.0,262.0
669,272.0,264.0
670,401.0,265.0
671,412.0,266.0
672,176.0,267.0
673,273.0,274.0
674,272.0,275.0
675,158.0,276.0
676,268.0,276.0
677,269.0,277.0
678,271.0,277.0
679,265.0,280.0
680,263.0,281.0
681,171.0,282.0
682,261.0,283.0
683,245.0,284.0
684,255.0,287.0
685,466.0,289.0
686,255.0,290.0
687,249.0,291.0
688,256.0,292.0
689,472.0,295.0
690,381.0,297.0
691,500.0,304.0
692,103.0,308.0
693,224.0,309.0
694,222.0,311.0
695,67.0,312.0
696,152.0,313.0
697,219.0,314.0
698,239.0,315.0
699,39.0,316.0
700,51.0,317.0
701,231.0,317.0
702,522.0,317.0
703,60.0,319.0
704,64.0,319.0
705,232.0,319.0
706,119.0,320.0
707,640.0,320.0
708,73.0,321.0
709,87.0,323.0
710,101.0,325.0
711,111.0,326.0
712,136.0,329.0
713,74.0,330.0
714,533.0,330.0
715,555.0,331.0
716,61.0,332.0
717,185.0,336.0
718,186.0,337.0
719,194.0,338.0
720,198.0,338.0
721,208.0,340.0
722,210.0,340.0
723,212.0,340.0
724,214.0,341.0
725,216.0,341.0
726,218.0,341.0
727,220.0,341.0
728,11.0,342.0
729,15.0,342.0
730,27.0,344.0
731,176.0,344.0
732,39.0,346.0
733,58.0,348.0
734,69.0,350.0
735,427.0,351.0
736,11.0,352.0
737,23.0,354.0
738,97.0,354.0
739,43.0,356.0
740,56.0,358.0
741,470.0,358.0
742,207.0,359.0
743,85.0,361.0
744,152.0,361.0
745,156.0,362.0
746,3.0,363.0
747,167.0,363.0
748,2.0,364.0
749,175.0,364.0
750,25.0,366.0
751,147.0,366.0
752,186.0,366.0
753,187.0,366.0
754,191.0,366.0
755,24.0,367.0
756,192.0,367.0
757,196.0,367.0
758,39.0,368.0
759,200.0,368.0
760,38.0,369.0
761,142.0,369.0
762,147.0,369.0
763,69.0,371.0
764,159.0,371.0
765,182.0,371.0
766,67.0,372.0
767,169.0,372.0
768,67.0,373.0
769,180.0,373.0
770,185.0,374.0
771,446.0,374.0
772,447.0,374.0
773,8.0,375.0
774,190.0,375.0
775,194.0,375.0
776,195.0,375.0
777,457.0,375.0
778,23.0,377.0
779,128.0,378.0
780,182.0,378.0
781,634.0,378.0
782,136.0,379.0
783,488.0,380.0
784,125.0,381.0
785,149.0,381.0
786,52.0,382.0
787,133.0,382.0
788,160.0,382.0
789,502.0,382.0
790,146.0,383.0
791,171.0,383.0
792,172.0,383.0
793,183.0,383.0
794,177.0,384.0
795,512.0,384.0
796,158.0,385.0
797,182.0,385.0
798,186.0,385.0
799,187.0,385.0
800,525.0,385.0
801,168.0,386.0
802,169.0,386.0
803,174.0,387.0
804,179.0,388.0
805,184.0,388.0
806,185.0,389.0
807,112.0,390.0
808,164.0,390.0
809,121.0,392.0
810,135.0,394.0
811,148.0,396.0
812,158.0,397.0
813,160.0,398.0
814,164.0,398.0
815,165.0,398.0
816,170.0,399.0
817,171.0,399.0
818,175.0,400.0
819,177.0,400.0
820,147.0,403.0
821,472.0,405.0
822,476.0,405.0
823,488.0,407.0
824,477.0,411.0
825,481.0,411.0
826,522.0,411.0
827,2.0,413.0
828,494.0,413.0
829,538.0,414.0
830,528.0,417.0
